SampleId,LD1,LD2,Class
57,-3.616905179739486,2.2911575286789625,1
58,-3.738685508455018,2.4601180287794913,1
59,1.586187491997981,-2.423844156395623,2
60,0.7996721574038554,-1.3940646059422384,2
61,2.3801544558547882,-1.4518865852256453,2
62,-0.45917725812412624,-1.1904536488886752,2
63,-0.5072688503830762,-3.166624034189538,2
64,0.3939835860764624,-2.779841704172166,2
65,-0.9225661578646315,-1.3887236831886507,2
66,-1.9554937686097293,-2.69360629332331,2
67,-0.3473281532000976,-2.5928990295805927,2
68,0.20371212038707148,0.01962134955865905,2
69,-0.24831914047612996,-2.7561761005109537,2
70,1.179879985077379,-0.9003427659028095,2
71,-1.0771892529207665,-1.8267011799752528,2
72,0.6410017923571976,-1.4453136749388789,2
73,-1.7468442121843504,-1.7845585885057995,2
74,-0.3472111694387458,-1.488106819318239,2
75,1.1427422170955663,-3.0892489983531086,2
76,0.1866588235927355,-2.6731709576364113,2
77,0.900525003593885,-1.8194235683420314,2
78,-0.7070955104577072,-2.1230444885319013,2
79,-0.5956283253580414,-2.489622451948521,2
80,-0.5576181808515666,-4.653037777482004,2
81,-1.8043041679152774,-1.4871494506984022,2
82,0.23077079227111516,-2.842875469649959,2
83,2.034827107005217,-0.7903200302976146,2
84,-0.6211302120925682,-1.6968958833045948,2
85,-1.0337274208228235,-2.441437623010723,2
86,0.7659878054453465,-3.446414022723951,2
87,0.3504256778363727,-3.2293569812022436,2
88,0.15324508352925184,-2.112877671111863,2
89,-0.14962842129287954,-2.9919320962877753,2
90,0.48079503920265265,-2.5400240797767233,2
91,1.3968901589289793,-2.5408229116261,2
92,0.9197233098174523,-2.2485966508437327,2
93,-0.5910293741397068,-2.9384539346985115,2
94,0.494113855038939,-2.936310763300601,2
95,-1.6261442583705958,-2.0204954495557996,2
96,2.000445622246153,-0.6344846400783978,2
97,-1.0053481823276935,-3.3311258606736023,2
98,-2.07121314485339,-2.7144542044529203,2
99,-1.6381588976214498,-3.8773965410878337,2
100,-1.0589434001439548,-2.9998726288140745,2
101,0.025945492133302682,-2.3541138839409506,2
102,-0.2188740746446474,-1.642896008053773,2
103,1.364376404046118,-3.8174717430377036,2
104,-1.1290124486869026,-2.326852448839863,2
105,-0.2126309355204554,-2.9967758153211523,2
106,-0.7794688373613158,-2.4727739163373608,2
107,0.6154673198298126,-2.1782398719050273,2
108,0.2255019223350954,-3.7973415934157666,2
109,-2.0386985129539497,-2.1853252235818923,2
110,0.7927471628060467,-3.661575980353471,2
111,0.302295454208225,-2.795278729957962,2
112,-0.5066488199606652,-1.0952734082349043,2
113,0.9983739733598888,-3.44598674873236,2
114,-0.21954922229244134,-2.797597690884172,2
115,-0.3713151655837058,-6.00561030847676,2
116,0.05545894068023355,-3.4784696991742665,2
117,-0.09137874364459421,-3.6197773322052793,2
118,1.7975525226174036,-0.850121765080458,2
119,-0.17405008593005775,-2.63224971348965,2
120,-1.178702808623851,-2.205192262191417,2
121,-3.210543895540148,-2.9053116941954955,2
122,0.6260520153107799,-1.9957086592964144,2
123,0.03366612671444944,-1.3843597592282186,2
124,-0.6993007967569448,-2.4594395655894283,2
125,-0.7206107942314506,-3.2466652031679213,2
126,-0.5193351242870727,-2.869693249783704,2
127,1.1703004464934137,-3.319478635896468,2
128,0.10824791006832672,-3.7987614262220077,2
129,1.1231978315082556,-1.2878481507053612,2
130,2.246324190262471,0.18734787261880345,3
131,3.285277547967327,0.6960862485144605,3
132,4.072364406441066,0.14425751540262297,3
133,3.8669123459249652,0.5350335734351935,3
134,3.450883334974753,-0.2173453581689137,3
135,3.7158389927043154,0.5651013007744257,3
136,3.922205101847164,0.8935262170435272,3
137,4.851610197603335,0.31406851823439935,3
138,3.5499338937336526,0.9159632987699485,3
139,3.7688917358958562,0.22554112901387388,3
140,2.6694224984316954,1.1410907602048823,3
141,2.324914922416463,1.9484833016423804,3
142,3.177128826604768,1.0598531662223902,3
143,2.889644183918621,1.1570592247457654,3
144,3.7832556216585407,2.0073930435747007,3
145,3.044113241293266,0.9812437042728455,3
146,4.706970170576555,1.8177827736063643,3
147,4.850213933324681,2.208182126748218,3
148,4.983591843118734,2.0349551952059497,3
149,4.869682926938923,1.8083286113253227,3
150,4.598691898095439,1.872242275856421,3
151,5.674478836997416,1.8258027051715835,3
152,5.329861231487729,0.5821851523128528,3
153,5.034010305771575,2.277320758676916,3
154,4.520800865084121,-0.006734202357881552,3
155,5.09783710153124,2.001620301105161,3
156,5.043682767604585,2.5119033023627733,3
157,4.869808293588455,1.0915807384954197,3
158,5.613165581496778,2.9843933226345287,3
159,5.670467365588649,2.273069964381185,3
160,5.374135128512059,0.7624722345726072,3
161,3.099753773488891,1.941064843205792,3
162,3.3588813726701416,0.5486896096241942,3
163,3.04007194055343,1.4569889812900978,3
164,4.948613027971824,2.189924580612978,3
165,4.54504458482222,1.2198984465186264,3
166,5.272558437670179,2.7162306107833354,3
167,5.130161168186947,2.291725363327761,3
168,4.304680824819753,2.3911253052092114,3
169,5.083367824767962,3.1576666520400662,3
170,4.067435709944158,0.3189219208114761,3
171,5.742129609500764,1.4670816505406614,3
172,4.482051400461813,3.3070838171665864,3
173,4.29150757881199,3.390331906588781,3
174,4.503296234241532,2.0835459154671687,3
175,5.047470327731623,3.196231361443296,3
176,4.27615504775291,2.4313879756977235,3
177,5.538086098201847,3.0420570946791594,3
